,user,latitude,longitude
367,User_3385,-8.188187,-34.921118
368,User_1237,-16.049668,-47.991894
369,User_4387,-12.259909,-38.966485
370,User_158,-23.639623999999998,-46.737446000000006
371,User_5879,-11.726486999999999,-49.07047
372,User_3806,-22.916536999999998,-47.070818
373,User_3941,-21.790208,-43.353396999999994
374,User_3616,-3.141341,-58.438768
375,User_2800,-16.684035,-49.245449
376,User_4432,-22.998358,-44.249421000000005
377,User_4148,-10.741127,-37.813543
378,User_3979,-27.420780999999998,-48.433492
379,User_3503,-3.070183,-59.95434
380,User_3928,-15.811514,-47.913323
381,User_4772,-7.107357,-34.879302
382,User_47,-3.089841,-60.070689
383,User_752,-20.30272,-40.322457
384,User_3307,-25.521003,-48.507521000000004
385,User_2255,-19.877815,-44.98315
386,User_4511,-7.1263320000000006,-34.955451000000004
387,User_5770,-10.907987,-37.052333000000004
388,User_1189,-26.467353999999997,-49.109252000000005
389,User_5602,-3.079838,-59.989425
390,User_2980,-23.622477,-46.729865999999994
391,User_5492,-8.047385,-34.899581
392,User_203,-8.190474,-34.919804
393,User_3699,-22.877285999999998,-47.064809000000004
394,User_2187,-10.284044999999999,-37.926966
395,User_5724,-21.835960999999998,-46.560485
396,User_2982,-8.75433,-63.849089
397,User_818,-22.837723999999998,-43.412815
398,User_4112,-21.207044,-47.76517
399,User_5577,-23.533328,-46.781263
400,User_1944,-23.533898,-46.471005
401,User_668,-23.706811,-46.747707
402,User_1250,-1.390227,-48.480942
403,User_1609,-9.93935,-67.821216
404,User_352,-20.508416,-40.366039
405,User_853,-22.771911,-42.921528
406,User_3279,-5.893816,-38.623019
407,User_2124,-23.668712,-46.573703
408,User_5720,-22.927316,-47.095639
409,User_772,-23.535021,-46.660195
410,User_4980,-27.602040999999996,-48.475446000000005
411,User_3358,-23.494661999999998,-46.507373
412,User_112,-19.853120999999998,-43.923158
413,User_1933,-27.783237,-48.506689
414,User_1889,-23.583776,-46.676863
415,User_2753,-23.609712,-46.666951
416,User_5218,-10.910194,-37.064347999999995
417,User_2733,-31.763862,-52.355356
418,User_2127,-7.994496000000001,-38.623519
419,User_2694,-22.890007,-43.478052000000005
420,User_5575,-15.83285,-48.058714
421,User_2263,-22.641686,-43.282773999999996
422,User_2009,-29.183149,-51.163022999999995
423,User_2610,-5.796867,-35.223151
424,User_1956,-23.643494,-46.720781
425,User_867,-20.83568,-49.39823
426,User_5456,-25.348456,-49.220915000000005
427,User_4272,-3.121695,-40.828140000000005
428,User_4054,-25.075222,-50.162380999999996
429,User_1156,-22.775312,-43.397662
430,User_5416,-22.89329,-47.065705
431,User_2329,-18.948407999999997,-47.004644
432,User_1005,-23.55973,-46.655744
433,User_5550,-23.516942999999998,-47.484629
434,User_2672,-16.649855,-49.292014
435,User_3736,-29.92108,-51.044919
436,User_3986,-8.168153,-34.915292
437,User_1010,-21.602803,-45.563404
438,User_278,-15.859357999999999,-48.025117
439,User_2999,-23.518485000000002,-46.513892
440,User_4629,-22.776612,-47.292318
441,User_933,-5.786531,-35.208018
442,User_5384,-23.70059,-46.629699
443,User_5620,-23.448632999999997,-45.069312
444,User_5134,-25.431144,-49.277572
445,User_4402,-19.465539,-42.564189
446,User_5423,-17.213676,-46.880129
447,User_334,-20.382175,-43.488644
448,User_3087,-12.987447,-38.521531
449,User_198,-7.600889,-37.311685
450,User_2607,-7.212632000000001,-35.876221
451,User_5518,-16.704038,-49.272842
452,User_4400,-15.80601,-48.14261
453,User_4484,-23.468456,-46.581599
454,User_2839,-30.083756,-51.078962
455,User_337,-20.257095,-40.27002
456,User_1339,-12.939247,-38.503508000000004
457,User_2286,-15.902467000000001,-48.058654
458,User_4133,-27.833726000000002,-50.313314
